"tsId","class","lempel_ziv","aproximation_entropy","sample_entropy","permutation_entropy","shannon_entropy_CS","shannon_entropy_SG","spectral_entropy","nforbiden","kurtosis","skewness","x_acf1","x_acf10","diff1_acf1","diff1_acf10","diff2_acf1","diff2_acf10","x_pacf5","diff1x_pacf5","diff2x_pacf5","entropy","nonlinearity","hurst","stability","lumpiness","unitroot_kpss","unitroot_pp","trend","spike","linearity","curvature","e_acf1","e_acf10","max_level_shift","time_level_shift","max_var_shift","time_var_shift","max_kl_shift","time_kl_shift"
"1","0",0.234331903712612,0.441738140187486,0.570560235262223,0.897912890535653,7.43376347594799,-44.7824423618545,4.8757841969839,0.797222222222222,0.86599519785644,1.30821715023042,0.943343287459879,4.36605660651341,0.0703974844515133,0.170864452714585,-0.435186563438121,0.417839229904503,0.997335450296323,0.117595768879405,0.526241472902104,0.66930191709925,0.726438465768939,0.998487902425199,0.861487843456358,0.329604744526662,0.371016388124737,-20.0977448479078,0.807034840365617,5.04140686219548e-06,-4.04599044410418,-0.767907867297379,0.747168547242909,1.38864338313179,1.69289246651258,213,0.601103763435374,220,3.9496048944157,120
"2","0",0.292914879640765,0.407853001653553,0.549071739772652,0.756798011507212,8.46233391684228,-40.9398828584856,4.15401763373557,0.838888888888889,1.42178271354355,1.39502248197887,0.981638590321633,4.82980714085776,0.746656149479738,1.46661459028727,-0.139147323442814,0.126954076876357,1.49666542191954,0.662449541280804,0.07543237696139,0.606742037276681,0.0582890499108389,0.998969011443275,0.890985478278599,0.0557914334758752,0.149008066739905,-17.7522590308314,0.819523119713485,1.99039802918504e-06,0.784869217860627,1.94690214173625,0.933205122137882,2.71712203636157,1.42396739835381,163,0.42335705689993,169,4.38520828430699,71
"3","1",0.263623391676688,0.43426421051102,0.615902054768295,0.962768402292116,6.68669440721505,-63.5580693467506,4.41752079649442,0.738888888888889,2.15784569487214,1.7241526974542,0.974831198735371,5.18589972285857,0.447057585688723,0.464860701327971,-0.391677877653819,0.202869057588865,1.17273402304835,0.288890152086215,0.225119821651298,0.608795766357424,0.160388245723518,0.99890262540341,0.885787871790797,0.152362073353578,0.190261227867391,-15.948548767653,0.8572262310456,1.53535085191462e-06,1.64571806226032,-2.92487471450474,0.880140706278966,1.79813520024774,2.02110819666062,50,1.1326249323223,53,20.1322069545682,78
"4","1",0.175748927784459,0.287073019592117,0.456618647194595,0.860071489703481,7.9423475752876,-13.0963361002555,4.08766601395538,0.822222222222222,-1.41165820712588,0.191076368752906,0.990906656801702,8.22155133719184,0.384198701166528,0.871865755263019,-0.530095762167409,0.408827878078733,1.05948119112573,0.28797461824401,0.425831827172881,0.488650287405229,0.0598288079881601,0.999464385966437,0.969236187458015,0.00354011036738797,0.629255056751219,-2.00071111565605,0.981963083139164,1.28558973753869e-08,3.70221700644839,8.52296708249198,0.845516217731997,1.84729931598166,1.3412701212364,30,0.291150033951102,21,16.5484659497402,48
"5","0",0.292914879640765,0.305346228187037,0.469175660445882,0.85740982615861,9.68041104874896,-33.1895504378088,4.07367670054106,0.806944444444444,1.06256907452424,1.0395877924633,0.987298656959836,6.44803864734429,0.725548261228781,1.69893559524159,-0.266859240787918,0.302803260179894,1.31775335474549,0.728319925105636,0.255095535491376,0.546290869094033,0.00658961022818622,0.999158594991002,0.9534247581664,0.0370722813270125,1.25579703647373,-10.7710809497567,0.917023063216515,4.09257350193734e-07,7.28653225130971,-2.26201182032721,0.945999879076073,2.95542366618306,1.49344010014789,2,0.678923531085731,4,5.19414079428708,224
"6","0",0.175748927784459,0.287914731873023,0.444200019720025,0.783946407997337,7.53491378610075,-33.4512209867813,4.40153093522022,0.841666666666667,-0.0083246172783662,0.775135696268887,0.98607547133258,6.45308020995321,0.696719493558635,1.59062229056378,-0.349391698261698,0.263570456650698,1.25219122428749,0.669181192604057,0.254829129913383,0.553403372576054,0.0411483870530206,0.999406879355179,0.927460836601109,0.0129467375052027,1.36832224310519,-9.58036923370562,0.922009208725852,2.75814352549425e-07,8.91875049390169,0.728655621711878,0.931770921352906,2.82264053924672,1.44972364708932,53,0.382594207878873,59,1.53477682175457,170
"7","1",0.322206367604841,0.499302389072544,0.579700125656325,0.758891869768507,7.91260519818668,-29.9097048013748,4.67284495913067,0.847222222222222,0.380385469826507,0.565213979861795,0.939833793606282,2.57450127280681,0.560404671624032,0.572240162133929,-0.142827736210448,0.0830057508361095,1.16059597532508,0.33684235453401,0.110431447872479,0.694669875496151,0.310319983561055,0.998541807191649,0.568929026137986,0.29191421161928,0.144508571004171,-29.7591912420951,0.658622246186372,6.21843511732116e-06,-1.55946495064894,2.21473156028652,0.887808265615052,2.33860807113786,1.54184643911151,75,0.984967033619747,79,0.50250607713379,181
"8","1",0.380789343532994,0.488371398345365,0.560212952837162,0.826623094704847,10.2010895965555,16.8661933726967,4.56612743870264,0.830555555555556,-0.0733550993352599,-0.735076114295682,0.965733049432542,4.59989654893761,0.361461492980943,0.194058216012198,-0.389271286966239,0.18089495967653,1.08905920371173,0.146000035737361,0.24934594084911,0.640125506362069,0.0204708357222793,0.998904252275494,0.813526468111706,0.176226201010682,1.2825329777921,-17.121886253177,0.816545177982798,1.11814439616689e-06,-7.62175508903995,-3.25096908597097,0.86268125200551,1.64523105008982,1.99294270894197,208,1.14551800646207,206,0.56451678343488,215
"9","0",0.175748927784459,0.326524299870695,0.452990281777023,0.802105319047527,8.90791181128323,-29.6822268745194,4.1271684455088,0.8375,0.759651408869394,0.776366639984068,0.989462211156362,7.20829225603284,0.70952609803516,1.3668906022248,-0.195224857344752,0.18481115050705,1.26883944891895,0.55856560244744,0.129594403185006,0.532720832127384,0.0221059057122827,0.999222935454037,0.971834872843398,0.0235326824304608,0.88060180959605,-7.82281871500695,0.944190318211438,1.56256180794977e-07,5.9593637820147,-6.34143314864477,0.933003678283527,2.49948461217696,1.07797115986309,149,0.25664823515709,73,12.3178084309393,48
"10","0",0.205040415748535,0.357616212804433,0.460198651996052,0.685623056812771,8.55578354423211,-18.2509742364911,3.79602111345826,0.883333333333333,-0.603374367643109,0.432482189274319,0.994103363887214,7.5124173904855,0.765582510650641,1.96714706444756,-0.256648926144195,0.314277786763812,1.61852217682308,0.684932204635887,0.230335829316304,0.517329505522572,0.025585699121579,0.999406879355179,0.980056357535622,0.0160867623118638,0.911461935578752,-6.43035449106217,0.950933092204007,9.62828177282416e-08,6.26805569047484,4.71094958687943,0.94219124378371,2.73665006441414,1.54074118775225,16,0.437123237573581,21,7.33788723691707,48
"11","1",0.263623391676688,0.417387328125721,0.530557656147735,0.812012496402891,7.74113110539853,-33.748910643986,4.43440507925859,0.829166666666667,0.556454206396352,0.825507880861007,0.978915573325478,5.46791129631214,0.601285760374375,1.06823631839811,-0.356788388969015,0.156847453055629,1.20519128831456,0.414525139704798,0.159171032086773,0.605408630741315,0.0348681817725126,0.99904031063725,0.914025908689662,0.0157323642505582,0.598542145898165,-11.7033059740564,0.858725599971893,8.87814545294127e-07,-4.44460804065224,-7.3151521328777,0.922047822229842,3.09821273040459,1.65864248668251,234,0.648785392126568,235,4.55709421426086,164
"12","1",0.234331903712612,0.456071342438778,0.540186053579563,0.775390347187227,8.43932336009686,-8.53929368468516,4.21279306146242,0.85,-1.24180794764553,0.167847920264252,0.986417849713883,6.22534640890521,0.552124143709558,1.12477237375489,-0.472448248796489,0.283340010277849,1.32047940352548,0.470107455927688,0.289603227448657,0.565034111542271,0.0155269165174681,0.999081023078858,0.927253967533115,0.0209057470562046,0.161956689223996,-11.2457370595365,0.906174207287357,1.83163478416596e-07,1.20154147494473,0.752263836648703,0.917674989444238,2.75860793886079,1.74219967151301,68,0.71089650968711,63,2.71391990111274,76
"13","0",0.322206367604841,0.457706221518646,0.600250559544924,0.918042394817188,6.91933333378556,-48.1151011045469,4.56797216789719,0.779166666666667,2.1821832786307,1.53115031053981,0.962147701346639,3.44933978247386,0.408732287613291,0.859904182543424,-0.553394917498369,0.461894504105679,1.26370241005942,0.319031866945499,0.360044594073645,0.659923828540505,0.0741664134080275,0.998784426719365,0.763698004659861,0.325543520629238,0.224321548125579,-27.0029393586864,0.696009804187354,5.47467010164622e-06,2.44600578599722,-3.17645995760308,0.906162688176809,3.11188196929313,1.49893546311179,215,0.566309875785972,3,8.70816991522507,50
"14","0",0.351497855568918,0.378578879991979,0.531692447256482,0.815281157441352,7.3498794989202,-47.7009211227162,4.56855175924321,0.8375,1.50707334797143,1.35678139883146,0.968108396051867,3.63910182186996,0.682787181625387,1.74445117668889,-0.5491703714921,0.663193684792263,1.36796995625215,0.845138590728085,0.364703713088689,0.632667145970674,0.0168701006771111,0.998814130592212,0.787474304465959,0.258646340859425,0.588974356828171,-26.6202561004751,0.742854810669789,3.781689093381e-06,4.40091610020516,-1.36513856657747,0.932197778689157,3.08332946611326,1.83027605315736,84,0.753389939947739,91,5.6201253825459,180
"15","1",0.410080831497071,0.60447413568826,0.604774518730421,0.839421451258553,8.95408676441276,-33.1771009933148,4.71756785371826,0.836111111111111,1.34988525345955,1.22218824698807,0.947341305800354,2.81322160268851,0.473293591168083,0.445143455327342,-0.302088429432437,0.115694564246443,1.16798804993527,0.234773327764719,0.163246649403531,0.691303537013152,0.455337348940744,0.998447189992429,0.661545163253056,0.449251583632275,0.147508773722145,-31.6749337855678,0.633073637020397,1.0427753801493e-05,2.3827147755307,0.715797940581255,0.880829368137127,2.19629646988795,1.70717380444731,223,0.781370596137923,218,1.38099613196179,196
"16","1",0.439372319461147,0.695193078965548,0.602966326880753,0.896469478910126,10.5926364906926,5.09148650126108,4.69440833672844,0.801388888888889,-0.41500158336474,-0.233577424159894,0.963444273318861,4.86521818251911,0.104703801915967,0.135174568267649,-0.558327352343579,0.42778350261611,1.02358919973307,0.0719819652015479,0.470897864555958,0.634677924022919,0.00754373770889043,0.998843830570826,0.884758017459854,0.112716139226363,1.84439865410783,-17.3020990579628,0.817732778316093,2.51520974394098e-06,9.31143139763675,-0.257268187602863,0.832142149846438,1.91909925167314,1.70188896590488,14,0.953572191168619,13,1.279187680389,48
