Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.3375,0.225,0.1533,0.175,0.25,0.1688,0.1812,0.175,0.1625
Random Forest,0.0,1.0,0.3617,0.425,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.3483,0.4,1.0,1.0,1.0,1.0,1.0
C5.0,0.3875,0.8125,0.3438,0.2,0.8375,0.7875,0.7875,0.7562,0.7562
C5.0-Boosting,0.0375,0.9875,0.35,0.4,0.9812,0.9688,0.9688,0.975,0.9875
CTree,0.5,0.2812,0.2,0.25,0.2812,0.2375,0.1875,0.1625,0.1938
RPart,0.35,0.5375,0.2312,0.275,0.525,0.4938,0.5062,0.4438,0.4625
kNN,0.15,0.3688,0.2062,0.175,0.2812,0.3062,0.3,0.3562,0.2938
3NN+DTW,0.0125,0.9062,0.2125,0.1,0.9125,0.9,0.9125,0.9188,0.9062
LSTM,0.0125,0.1375,0.1312,0.15,0.1312,0.1812,0.1625,0.175,0.1312
C4.5,0.25,0.8125,0.3,0.325,0.8062,0.7875,0.7938,0.7625,0.7562
