Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,1.0565,0.9718,0.9638,0.9677,0.8737,0.8253,0.7728,0.7137,0.6653
Random Forest,0.0,1.0,0.9840000000000001,0.9677,1.0,1.0,1.0,1.0,1.0
CART,0.043,1.0,0.9772,0.9677,1.0,0.9987,0.9933,0.9825,0.9973
C5.0,0.5,0.9973,0.9758,0.9731,0.9126,0.8616,0.8602,0.8481,0.7944
C5.0-Boosting,0.1398,1.0,0.9852,0.9785,0.9368,0.8938,0.9772,0.9825,0.9274
CTree,0.9570000000000001,0.9758,0.9516,0.9462,0.8696,0.8266,0.7702,0.7245,0.6815
RPart,0.9489,0.9731,0.965,0.9355,0.875,0.828,0.7863,0.7298,0.6868
kNN,0.922,0.9570000000000001,0.953,0.9570000000000001,0.8669,0.8078,0.7728,0.7285,0.6761
3NN+DTW,0.4946,0.9852,0.9597,0.9785,0.9059,0.871,0.8441,0.8118,0.8118
LSTM,1.043,0.9637,0.9490000000000001,0.9516,0.8495,0.8306,0.7849,0.6613,0.6734
C4.5,0.7742,0.9973,0.9798,0.9731,0.9247,0.8737,0.8320000000000001,0.7929999999999999,0.7715
