Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.5475,0.5827,0.5574,0.5528,0.5264,0.5044,0.4525,0.4665,0.4085
Random Forest,0.0,1.0,0.9024,0.9014,1.0,1.0,1.0,1.0,1.0
CART,0.0053,1.0,0.8424,0.8169,1.0,1.0,1.0,0.9991,0.9991
C5.0,0.3292,0.9736,0.8565,0.8768,0.9278,0.9023,0.9155,0.8539,0.8697
C5.0-Boosting,0.0106,0.9991,0.9093,0.912,0.9965,0.9991,0.9991,0.9991,0.9991
CTree,0.7799,0.8046,0.7509,0.7218,0.7333,0.6356,0.5827,0.61,0.5511
RPart,0.5282,0.8169,0.7746,0.7183,0.6989,0.654,0.6629,0.6224,0.5827
kNN,0.6074,0.6937,0.6593,0.669,0.6452,0.5933,0.5660000000000001,0.5537,0.5132
3NN+DTW,0.2482,0.912,0.7491,0.7113,0.8776,0.8451,0.8442,0.8248,0.8257
LSTM,0.9701,0.5836,0.5079,0.5986,0.5995,0.2782,0.3609,0.2667,0.3627
C4.5,0.4613,0.9789,0.8459,0.8768,0.9208,0.8988,0.9137,0.8583,0.8257
