Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.28,0.7125,0.7,0.69,0.6575,0.6125,0.605,0.6275,0.58
Random Forest,0.0,1.0,0.6725,0.67,1.0,1.0,1.0,1.0,1.0
CART,0.01,1.0,0.625,0.71,1.0,1.0,1.0,1.0,0.9975
C5.0,0.825,0.8,0.65,0.65,0.71,0.7575,0.585,0.63,0.5675
C5.0-Boosting,0.685,0.8,0.66,0.65,0.675,0.7575,0.585,0.63,0.5675
CTree,0.355,0.69,0.625,0.65,0.5975,0.5975,0.5,0.615,0.5
RPart,0.55,0.8075,0.64,0.62,0.8125,0.8175,0.73,0.7675,0.7
kNN,0.46,0.7075,0.6875,0.7,0.68,0.67,0.62,0.61,0.595
3NN+DTW,0.09,0.7875,0.585,0.65,0.775,0.78,0.7625,0.765,0.76
LSTM,0.025,0.8375,0.625,0.71,0.6,0.6025,0.54,0.565,0.6125
C4.5,0.335,0.81,0.6575,0.67,0.72,0.6825,0.6375,0.665,0.645
