Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.3269,0.3654,0.322,0.3269,0.3413,0.3365,0.3413,0.3045,0.2756
Random Forest,0.0,1.0,0.5377,0.5321,1.0,1.0,1.0,1.0,1.0
CART,0.0962,1.0,0.4356,0.4103,1.0,1.0,1.0,1.0,0.976
C5.0,0.2147,0.8958,0.4311,0.4359,0.8686,0.8381,0.8285,0.8173,0.8253
C5.0-Boosting,0.0,1.0,0.5208,0.4936,0.9968,0.9984,0.9952,0.9952,0.9984
CTree,0.4519,0.4615,0.3526,0.359,0.3894,0.3542,0.3253,0.3205,0.2933
RPart,0.5288,0.5353,0.3782,0.4103,0.4888,0.4471,0.4567,0.4038,0.3782
kNN,0.2917,0.4199,0.3221,0.3654,0.3862,0.36700000000000005,0.3654,0.3462,0.3237
3NN+DTW,0.0513,0.8782,0.3413,0.3141,0.8862,0.8782,0.8798,0.875,0.9006
LSTM,0.1506,0.4231,0.3894,0.2885,0.4872,0.5433,0.36700000000000005,0.4487,0.4968
C4.5,0.1795,0.8862,0.4246,0.4295,0.851,0.8429,0.8253,0.8269,0.8141
