Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.2532,0.3638,0.3182,0.3141,0.3333,0.3189,0.2997,0.2853,0.2869
Random Forest,0.0,1.0,0.5324,0.5449,1.0,1.0,1.0,1.0,1.0
CART,0.0032,1.0,0.4111,0.3654,1.0,0.9984,1.0,0.9968,1.0
C5.0,0.1378,0.8846,0.4199,0.3846,0.8301,0.8381,0.8429,0.8237,0.8029
C5.0-Boosting,0.0096,1.0,0.5224,0.5192,0.9984,0.992,0.9952,0.9936,0.9952
CTree,0.4904,0.4631,0.3397,0.3654,0.4135,0.3221,0.3253,0.3269,0.2885
RPart,0.6891,0.508,0.3765,0.3846,0.5064,0.4535,0.4471,0.3814,0.3702
kNN,0.4167,0.4407,0.3253,0.3269,0.4087,0.3766,0.3574,0.3317,0.3269
3NN+DTW,0.0032,0.8590000000000001,0.3269,0.3333,0.8766,0.8606,0.8766,0.8526,0.8798
LSTM,0.6891,0.5545,0.455,0.3974,0.4824,0.5481,0.2933,0.4535,0.3574
C4.5,0.0449,0.8846,0.4279,0.391,0.8542,0.8205,0.8301,0.8141,0.8462
