Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.5820000000000001,0.5542,0.5367,0.5488,0.493,0.4615,0.43200000000000005,0.4044,0.376
Random Forest,0.2398,0.9999,0.7205,0.721,0.9708,0.9565,0.9440000000000001,0.9339,0.9222
CART,0.35600000000000004,0.9773,0.6153,0.6248,0.9356,0.9159,0.8906,0.8876,0.8608
C5.0,0.5178,0.9037,0.6234,0.6238,0.8441,0.813,0.7874,0.7607,0.7408
C5.0-Boosting,0.355,0.9998,0.7004,0.7029,0.9646,0.946,0.9296,0.9108,0.8934
CTree,0.6990000000000001,0.6347,0.5585,0.5615,0.5534,0.5115,0.4855,0.442,0.4134
RPart,0.423,0.4009,0.3923,0.3921,0.3637,0.3354,0.3146,0.2905,0.2804
kNN,0.4825,0.5048,0.4892,0.4908,0.4575,0.433,0.4074,0.3854,0.3607
3NN+DTW,0.1835,0.8839,0.6087,0.6121,0.8542,0.8429,0.8326,0.8236,0.818
LSTM,0.8065,0.7922,0.6677,0.6971,0.6977,0.653,0.6361,0.5914,0.5269
C4.5,0.4954,0.9257,0.6204,0.6298,0.8627,0.8334,0.8055,0.7809999999999999,0.7651
