Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.4981,0.5175,0.4595,0.4154,0.4942,0.4591,0.4475,0.4047,0.3969
Random Forest,0.0,1.0,0.9415,0.9538,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.8672,0.8923,1.0,1.0,1.0,1.0,1.0
C5.0,0.4825,0.9767,0.8986,0.8615,0.9416,0.8949,0.8716,0.8482,0.8444
C5.0-Boosting,0.0545,1.0,0.9379,0.9385,0.9961,0.9767,0.9922,0.9805,0.9805
CTree,1.1440000000000001,0.8599,0.7746,0.6923,0.6342,0.6537,0.5914,0.4708,0.4397
RPart,0.6148,0.9261,0.8325,0.8,0.8288,0.8016,0.7549,0.7276,0.7121
kNN,0.6304,0.8054,0.7628,0.8154,0.7237,0.7043,0.6459,0.6304,0.6031
3NN+DTW,0.2101,0.9377,0.8367,0.8615,0.8911,0.8288,0.8288,0.8405,0.8327
LSTM,0.537,0.4786,0.4354,0.4308,0.3074,0.6926,0.6265,0.4008,0.3191
C4.5,0.3346,0.9805,0.8833,0.8923,0.9066,0.9339,0.9066,0.8988,0.8405
