Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.6589,0.7703,0.7703,0.7685,0.6961,0.6682,0.6381,0.6079,0.5615
Random Forest,0.0,1.0,0.7957,0.787,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.7379,0.7685,1.0,1.0,1.0,1.0,1.0
C5.0,0.9977,0.9397,0.7586,0.7963,0.8654,0.8909999999999999,0.9211,0.935,0.594
C5.0-Boosting,1.4478,1.0,0.7632,0.7963,0.9791,1.0,1.0,1.0,0.6172
CTree,0.8817,0.8144,0.7911,0.8056,0.7401,0.7077,0.6705,0.6241,0.5615
RPart,0.4408,0.884,0.7771,0.8056,0.826,0.7564,0.7609999999999999,0.7169,0.7355
kNN,0.7517,0.8213,0.7979999999999999,0.7963,0.7332,0.7007,0.6752,0.6311,0.58
3NN+DTW,0.1903,0.884,0.775,0.7685,0.8329,0.8213,0.8237,0.8005,0.7958
LSTM,0.6404,0.3225,0.4921,0.3148,0.5568,0.2854,0.5267,0.5081,0.6056
C4.5,0.18100000000000002,0.8933,0.7702,0.8148,0.9118,0.8028,0.8886,0.7773,0.8794
