Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.645,0.703,0.7031,0.6944,0.6404,0.6032,0.5870000000000001,0.536,0.5128
Random Forest,0.0,1.0,0.7287,0.75,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.6469,0.6204,1.0,1.0,1.0,1.0,1.0
C5.0,0.0974,0.9559,0.7101,0.7037,0.9118,0.8933,0.8329,0.8677,0.9002
C5.0-Boosting,0.0046,1.0,0.7239,0.713,1.0,0.9977,0.9861,0.9954,1.0
CTree,0.6961,0.7703,0.7356,0.7685,0.6868,0.6404,0.6334,0.58,0.5429
RPart,0.6961,0.826,0.7170000000000001,0.7222,0.7541,0.7077,0.6914,0.6659,0.6009
kNN,0.6172,0.7564,0.7193,0.7407,0.6868,0.6357,0.6265,0.5824,0.5592
3NN+DTW,0.1067,0.8794,0.6983,0.6759,0.8631,0.8237,0.8121,0.8213,0.8376
LSTM,0.7889,0.2251,0.2296,0.2407,0.6752,0.6473,0.5963,0.4524,0.5754
C4.5,0.0603,0.9582,0.7007,0.6667,0.9049,0.8631,0.8817,0.9072,0.8677
