Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.2875,0.7312,0.6684,0.725,0.6688,0.625,0.675,0.5938,0.6125
Random Forest,0.0,1.0,0.7313,0.8,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.6997,0.775,1.0,1.0,1.0,1.0,1.0
C5.0,0.3375,0.95,0.725,0.825,0.8938,0.7812,0.775,0.7875,0.8062
C5.0-Boosting,0.1625,1.0,0.75,0.8,0.8688,0.7812,0.8812,0.7875,0.825
CTree,0.3,0.7812,0.6938,0.7,0.625,0.6125,0.6,0.5875,0.5625
RPart,0.075,0.8312,0.7312,0.725,0.85,0.8062,0.8438,0.8188,0.825
kNN,0.55,0.7812,0.775,0.825,0.7438,0.6938,0.6875,0.6312,0.6375
3NN+DTW,0.0875,0.85,0.7438,0.775,0.8312,0.7375,0.7875,0.7812,0.7875
LSTM,0.575,0.825,0.6875,0.725,0.7312,0.6438,0.725,0.4438,0.6875
C4.5,1.225,0.8875,0.7438,0.775,0.8688,0.975,0.8312,0.5875,0.7562
