Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.1244,0.2487,0.24,0.2483,0.1606,0.1554,0.1537,0.1209,0.1468
Random Forest,0.0,1.0,0.6109,0.6897,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.4947,0.5517,1.0,1.0,1.0,1.0,1.0
C5.0,0.2625,0.905,0.4957,0.5862,0.8653,0.8428,0.8549,0.8325,0.8048
C5.0-Boosting,0.038,1.0,0.5751,0.6345,0.9914,0.9965,0.9965,0.9983,1.0
CTree,0.9016,0.6045,0.4318,0.5517,0.4922,0.3972,0.3437,0.32299999999999995,0.304
RPart,0.3834,0.6079,0.475,0.4897,0.494,0.5043,0.4525,0.4439,0.4283
kNN,0.3385,0.4715,0.4128,0.4,0.4283,0.3817,0.3955,0.3644,0.3523
3NN+DTW,0.0104,0.8463,0.3921,0.469,0.8446,0.8687,0.8601,0.8601,0.8463
LSTM,0.0415,0.1623,0.0794,0.1724,0.095,0.1192,0.0933,0.0846,0.1226
C4.5,0.2107,0.8946,0.4801,0.5862,0.8566,0.8515,0.8515,0.8290000000000001,0.8152
