Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.0518,0.1589,0.1514,0.1724,0.1641,0.1503,0.133,0.1451,0.1537
Random Forest,0.0,1.0,0.5128,0.6,1.0,1.0,1.0,1.0,1.0
CART,0.0104,1.0,0.4148,0.4759,1.0,0.9948,1.0,1.0,1.0
C5.0,0.19,0.8826,0.3973,0.4966,0.8394,0.8377,0.8048,0.8221,0.7997
C5.0-Boosting,0.0069,0.9983,0.4801,0.5172,1.0,0.9931,0.9931,0.9965,0.9965
CTree,0.6736,0.4784,0.3714,0.3724,0.418,0.3541,0.3247,0.3282,0.2625
RPart,0.3834,0.544,0.4006,0.4345,0.5147,0.456,0.4421,0.4853,0.4041
kNN,0.4663,0.4301,0.361,0.4,0.4059,0.3834,0.3644,0.3472,0.3074
3NN+DTW,0.0794,0.8705,0.3643,0.469,0.8808,0.8636,0.8774,0.8756,0.8946
LSTM,0.0933,0.4266,0.08800000000000001,0.4207,0.1658,0.1174,0.1537,0.1744,0.114
C4.5,0.1244,0.8826,0.4059,0.5724,0.8566,0.8325,0.8221,0.8290000000000001,0.8273
