Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.6986,0.6867,0.6759999999999999,0.6815,0.6131,0.5777,0.5447,0.5083,0.4731
Random Forest,0.1258,0.9913,0.8228,0.8173,0.9681,0.9558,0.9496,0.943,0.943
CART,0.2286,0.9854,0.7367,0.7338,0.9599,0.9485,0.9281,0.9179999999999999,0.9179999999999999
C5.0,0.604,0.8867,0.7606,0.7704,0.8188,0.7841,0.7558,0.7312,0.6943
C5.0-Boosting,0.7311,0.9781,0.8076,0.8101,0.9077,0.8696,0.8363,0.8062,0.7566
CTree,0.8203,0.7859999999999999,0.7273,0.7377,0.6916,0.653,0.607,0.5707,0.5277
RPart,0.6158,0.6278,0.6142,0.6214,0.5428,0.5351,0.5066,0.4801,0.4163
kNN,0.6233,0.6774,0.6665,0.6623,0.6161,0.5852,0.5525,0.5224,0.4917
3NN+DTW,0.1132,0.8717,0.6912,0.6839,0.8434,0.8324,0.8287,0.8186,0.8220000000000001
LSTM,0.8243,0.7783,0.8240000000000001,0.7464,0.7745,0.7447,0.6841,0.6629,0.6094
C4.5,0.185,0.9412,0.7571,0.7566,0.8862,0.8714,0.8663,0.8533,0.8490000000000001
