Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.0299,0.2516,0.2478,0.2488,0.254,0.2603,0.259,0.2553,0.264
Random Forest,0.0,1.0,0.3027,0.2587,1.0,1.0,1.0,1.0,1.0
CART,0.0125,0.9925,0.2865,0.3234,1.0,0.9738,0.9963,1.0,0.9838
C5.0,0.1818,0.8842,0.2902,0.3035,0.8792,0.6837,0.8867,0.8917,0.8207
C5.0-Boosting,0.2864,0.9801,0.2716,0.2786,0.9963,0.6837,0.9925,0.8917,0.8207
CTree,0.0299,0.2516,0.213,0.2488,0.254,0.2603,0.259,0.2553,0.264
RPart,0.122,0.4321,0.2641,0.2239,0.4197,0.3973,0.4359,0.4234,0.3761
kNN,0.0274,0.345,0.2727,0.2139,0.3562,0.34,0.3412,0.3611,0.3387
3NN+DTW,0.1121,0.8269,0.2677,0.2289,0.8331,0.8095,0.8257,0.8057,0.807
LSTM,0.0075,0.2516,0.2553,0.2587,0.2491,0.2565,0.2354,0.2677,0.2453
C4.5,0.1196,0.8742,0.2715,0.3035,0.8381,0.8755,0.6065,0.8406,0.8257
