Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.0571,0.225,0.2357,0.2429,0.2214,0.2,0.2071,0.2143,0.2
Random Forest,0.0,1.0,0.5786,0.6143,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.5214,0.5286,1.0,1.0,1.0,1.0,1.0
C5.0,0.0929,0.8893,0.4357,0.5429,0.8643,0.8536,0.8429,0.8643,0.8357
C5.0-Boosting,0.0143,1.0,0.5286,0.6429,0.9964,1.0,1.0,1.0,1.0
CTree,0.8071,0.475,0.3464,0.3857,0.425,0.4214,0.3143,0.2321,0.3179
RPart,0.6,0.6679,0.425,0.5286,0.65,0.5821,0.5821,0.525,0.5286
kNN,0.4429,0.5071,0.45,0.5571,0.4857,0.4607,0.4179,0.4107,0.4
3NN+DTW,0.2714,0.7857,0.3571,0.4,0.7893,0.7929,0.8107,0.8357,0.8357
LSTM,0.2071,0.2857,0.2179,0.3,0.2429,0.1536,0.2036,0.1643,0.1857
C4.5,0.25,0.8857,0.4643,0.5857,0.875,0.8964,0.825,0.85,0.8357
