Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.0036,0.5234,0.5107,0.4995,0.5191,0.5246,0.5257,0.5188,0.5211
Random Forest,0.0,1.0,0.7967,0.8081,1.0,1.0,1.0,1.0,1.0
CART,0.2734,0.9949,0.7172,0.7574,0.953,0.982,0.997,0.9332,0.909
C5.0,0.3257,0.815,0.6763,0.7036,0.5109,0.6585,0.6791,0.5069,0.5053
C5.0-Boosting,0.4507,0.8831,0.6882,0.7624,0.5109,0.721,0.6791,0.5069,0.5053
CTree,0.0274,0.7515,0.5828,0.6792,0.5109,0.5094,0.5823,0.5069,0.5053
RPart,0.4863,0.7246,0.6657,0.6843,0.655,0.6392,0.6344,0.5069,0.5996
kNN,0.0259,0.5447,0.4792,0.5005,0.5506,0.5485,0.5534,0.5452,0.5587
3NN+DTW,0.0249,0.7497,0.4992,0.5096,0.7505,0.7467,0.7523,0.7536,0.7533
LSTM,1.0325,0.5135,0.5252,0.5137,0.8239,0.5539,0.5605,0.5686,0.5584
C4.5,1.1707,0.9375,0.7388,0.733,0.8402,0.5109,0.5081,0.5069,0.5495
