Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.0579,0.5301,0.5011,0.4933,0.5222,0.5371,0.5225,0.5155,0.5186
Random Forest,0.0,1.0,0.8113,0.8169,1.0,1.0,1.0,1.0,1.0
CART,0.0219,1.0,0.743,0.7483,0.9975,0.9983,0.9888,0.9958,0.9933
C5.0,1.3515,0.8487,0.7528,0.7685,0.7767,0.7531,0.6268,0.5042,0.5633
C5.0-Boosting,1.1895,0.9148,0.7837,0.7909999999999999,0.7767,0.6721,0.6268,0.5042,0.5633
CTree,0.8915,0.759,0.7219,0.7315,0.7025,0.6839,0.6305,0.5042,0.5695
RPart,0.4258,0.7697,0.7216,0.7494,0.6839,0.669,0.6378,0.635,0.5945
kNN,0.0152,0.5568,0.4896,0.4865,0.5605,0.5512,0.5579,0.5402,0.5621
3NN+DTW,0.0096,0.7579,0.5188,0.509,0.7449,0.7528,0.7764,0.7441,0.7469
LSTM,0.19399999999999998,0.5146,0.4786,0.5146,0.5506,0.52,0.5318,0.5152,0.5045
C4.5,1.8825,0.9201,0.7573,0.773,0.847,0.7804,0.7241,0.5169,0.5082
