Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.4857,0.755,0.755,0.7483,0.7011,0.682,0.6507,0.6208,0.6103
Random Forest,0.0043,1.0,0.9496,0.9583,0.9978,0.997,0.9974,0.9974,0.9965
CART,0.006999999999999999,1.0,0.9205,0.934,0.993,0.9787,0.9791,0.9848,0.9883
C5.0,0.9626,0.9679,0.9231,0.9427,0.8705,0.8089,0.7737,0.7359,0.6664
C5.0-Boosting,1.3362,0.9983,0.9592,0.9566,0.9114,0.8341,0.7845,0.6942,0.6473
CTree,0.9644,0.9296,0.8784,0.9149,0.8158,0.7715,0.7168,0.6447,0.6381
RPart,0.7063,0.8905,0.8623,0.8490000000000001,0.7989,0.7837,0.7194,0.7033,0.6625
kNN,0.5908,0.8341,0.8232,0.8247,0.7615,0.742,0.7007,0.6742,0.6477
3NN+DTW,0.5074,0.9709,0.9383,0.9566,0.8931,0.8536,0.831,0.8145,0.7858
LSTM,0.9123,0.7632,0.6934,0.7604,0.8215,0.5547,0.7715,0.5599,0.5908
C4.5,1.0817,0.9848,0.927,0.9323,0.8740000000000001,0.8536,0.8189,0.6994,0.6807
