Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.6625,0.8375,0.825,0.85,0.7625,0.7062,0.6812,0.625,0.6375
Random Forest,0.0,1.0,0.9125,0.9,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.85,0.8,1.0,1.0,1.0,1.0,1.0
C5.0,0.375,0.9938,0.8812,0.9,0.9562,0.9312,0.7625,0.9562,0.85
C5.0-Boosting,1.3125,1.0,0.9125,0.9,1.0,0.9625,0.7625,0.9062,0.7
CTree,1.725,0.9562,0.9062,0.85,0.8125,0.7375,0.7125,0.5,0.5
RPart,0.475,0.9375,0.8625,0.8,0.9062,0.8625,0.8188,0.8125,0.8125
kNN,0.825,0.9312,0.9125,0.925,0.85,0.75,0.7312,0.6875,0.675
3NN+DTW,0.5625,0.9438,0.8438,0.875,0.9,0.8438,0.7938,0.7875,0.7875
LSTM,0.3375,0.5,0.6812,0.5,0.6625,0.575,0.4875,0.6812,0.525
C4.5,0.6375,0.975,0.8938,0.85,0.9125,0.9,0.7875,0.9188,0.7438
