Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.5833,0.8028,0.8029,0.8242,0.7361,0.7111,0.6639,0.6472,0.6222
Random Forest,0.0,1.0,0.9417,0.9121,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.8972,0.9011,1.0,1.0,1.0,1.0,1.0
C5.0,1.0333,0.9833,0.9056,0.8681,0.9167,0.8389,0.8694,0.85,0.6528
C5.0-Boosting,1.2,1.0,0.9306,0.8901,0.9833,0.8389,0.8694,0.8056,0.7
CTree,0.7389,0.9083,0.8333,0.8681,0.8139,0.7,0.675,0.6528,0.6528
RPart,0.3,0.9139,0.8611,0.8791,0.8639,0.8528,0.8361,0.7861,0.8222
kNN,0.5444,0.85,0.8278,0.8462,0.7694,0.7417,0.7083,0.6861,0.6611
3NN+DTW,0.5278,0.9722,0.9111,0.8901,0.9,0.8444,0.8167,0.8083,0.7861
LSTM,0.2833,0.4944,0.5917,0.4945,0.5139,0.8056,0.7556,0.6139,0.5389
C4.5,0.9333,0.9861,0.8944,0.8681,0.9028,0.8556,0.8778,0.8667,0.6639
