Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.3944,0.8444,0.8444,0.8462,0.7556,0.7194,0.7111,0.7,0.6667
Random Forest,0.0,1.0,0.9834,0.9890000000000001,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.9583,0.956,1.0,1.0,1.0,1.0,1.0
C5.0,1.2333,0.9972,0.9806,0.9670000000000001,0.9528,0.8972,0.8194,0.7861,0.7
C5.0-Boosting,1.4556,1.0,0.9833,0.978,1.0,0.9472,0.8194,0.7806,0.7194
CTree,0.9667,0.9667,0.9417,0.9451,0.8667,0.825,0.7611,0.7306,0.6722
RPart,0.5,0.9611,0.9361,0.956,0.8917,0.8583,0.8222,0.8139,0.7889
kNN,0.5556,0.8833,0.8861,0.9121,0.8083,0.7667,0.7278,0.7167,0.6944
3NN+DTW,0.6111,0.9889,0.9528,0.9890000000000001,0.8944,0.875,0.8306,0.7972,0.7806
LSTM,0.4222,0.5417,0.6583,0.5385,0.6194,0.6806,0.4861,0.6417,0.5333
C4.5,1.0556,0.9917,0.9694,0.956,0.9111,0.8917,0.8444,0.7583,0.7139
