Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.2611,0.6944,0.6832,0.6374,0.6472,0.6472,0.625,0.5944,0.6083
Random Forest,0.0,1.0,0.961,0.9451,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.9112,0.8901,1.0,1.0,1.0,1.0,1.0
C5.0,1.3,0.9889,0.9,0.956,0.9333,0.9194,0.8028,0.7583,0.6889
C5.0-Boosting,1.6056,1.0,0.95,0.956,1.0,0.9722,0.8694,0.7583,0.7056
CTree,1.1278,0.9222,0.9,0.8462,0.8528,0.8083,0.7278,0.6778,0.6361
RPart,0.5,0.9417,0.8806,0.9231,0.8861,0.825,0.8167,0.8194,0.7639
kNN,0.7556,0.8806,0.8333,0.8352,0.8083,0.7417,0.7333,0.6917,0.6444
3NN+DTW,0.4111,0.9667,0.9361,0.9011,0.8917,0.8472,0.8139,0.8306,0.7972
LSTM,1.1444,0.8167,0.5361,0.7912,0.8861,0.7,0.5111,0.6111,0.6444
C4.5,0.8722,0.9861,0.9028,0.9011,0.9444,0.8611,0.8639,0.7417,0.7861
