Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.152,0.5263,0.5146,0.5116,0.5556,0.5146,0.5088,0.5088,0.5205
Random Forest,0.0,1.0,0.6031,0.5814,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.578,0.5116,1.0,1.0,1.0,1.0,1.0
C5.0,0.5731,0.7485,0.5487,0.5116,0.6842,0.7485,0.7427,0.6725,0.8655
C5.0-Boosting,0.1053,0.7602,0.5723,0.6047,0.6842,0.7485,0.7427,0.6725,0.7485
CTree,0.0351,0.5205,0.4385,0.5116,0.5146,0.5146,0.5088,0.5088,0.5088
RPart,0.1287,0.8187,0.5556,0.4651,0.7778,0.7544,0.7953,0.7836,0.7953
kNN,0.26899999999999996,0.5965,0.4849,0.4419,0.5848,0.6257,0.5965,0.6199,0.655
3NN+DTW,0.1404,0.7427,0.4435,0.5349,0.7427,0.7661,0.7778,0.7544,0.7836
LSTM,0.0702,0.655,0.5444,0.6047,0.4854,0.5322,0.5088,0.4971,0.5205
C4.5,0.6667,0.731,0.5672,0.6047,0.6316,0.7895,0.6082,0.6199,0.883
