Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.2099,0.6588,0.6524,0.6533,0.6177,0.6022,0.5995,0.5776,0.5776
Random Forest,0.0,1.0,0.6998,0.6752,1.0,1.0,1.0,1.0,1.0
CART,0.0255,0.9991,0.6524,0.6459999999999999,1.0,0.9991,0.9836,0.9991,0.9936
C5.0,0.3467,0.7619,0.6752,0.6788,0.6715,0.6442,0.6232,0.6022,0.6058
C5.0-Boosting,0.4672,0.7682,0.7026,0.6642,0.6989,0.6487,0.6788,0.6086,0.6022
CTree,0.2245,0.6432,0.6268,0.5766,0.6305,0.6058,0.5958,0.5885,0.583
RPart,0.2938,0.7838,0.6752,0.6496,0.7391,0.7126,0.6943,0.6423,0.7007
kNN,0.2226,0.6953,0.6761,0.6423,0.6487,0.6369,0.6286,0.5949,0.6141
3NN+DTW,0.2208,0.8349,0.7190000000000001,0.6788,0.8038,0.7765,0.7865,0.7591,0.7573
LSTM,0.031,0.7354,0.5446,0.6752,0.615,0.4389,0.6405,0.4799,0.6022
C4.5,0.6296,0.7482,0.6807,0.6533,0.7245,0.6761,0.6396,0.6332,0.5885
