Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.1405,0.3432,0.3085,0.2473,0.3378,0.3405,0.3027,0.3135,0.3162
Random Forest,0.0,1.0,0.4269,0.4194,1.0,1.0,1.0,1.0,1.0
CART,0.0649,1.0,0.3345,0.3333,1.0,1.0,0.9973,1.0,0.9838
C5.0,0.0162,0.8946,0.3351,0.3333,0.8568,0.8676,0.8865,0.8541,0.8595
C5.0-Boosting,0.0,0.9919,0.3486,0.4301,1.0,1.0,1.0,1.0,1.0
CTree,0.0541,0.2162,0.2216,0.2151,0.2189,0.273,0.2135,0.2189,0.2324
RPart,0.17300000000000001,0.5865,0.373,0.3441,0.5595,0.5162,0.4757,0.5703,0.5757
kNN,0.1946,0.42700000000000005,0.3324,0.3226,0.4243,0.3622,0.3595,0.3838,0.3649
3NN+DTW,0.1405,0.7946,0.3162,0.2903,0.8135,0.8135,0.8189,0.8189,0.8459
LSTM,0.5027,0.3162,0.3081,0.2581,0.2459,0.4162,0.2351,0.2189,0.2189
C4.5,0.1297,0.8703,0.3243,0.3333,0.8838,0.8568,0.8378,0.873,0.8432
