Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.1176,0.598,0.5682,0.6154,0.5784,0.5686,0.6373,0.5489999999999999,0.5588
Random Forest,0.0,1.0,0.4409,0.6923,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.4509,0.5385,1.0,1.0,1.0,1.0,1.0
C5.0,0.3529,0.598,0.5876,0.6154,0.5784,0.5686,0.6863,0.5489999999999999,0.6765
C5.0-Boosting,0.3529,0.598,0.5876,0.6154,0.5784,0.5686,0.6863,0.5489999999999999,0.6765
CTree,0.1961,0.598,0.5971,0.6154,0.5784,0.5686,0.6765,0.5489999999999999,0.5392
RPart,0.098,0.8039,0.4995,0.5385,0.7941,0.7941,0.7941,0.8039,0.8137
kNN,0.0588,0.6667,0.5771,0.6538,0.6275,0.6373,0.6667,0.6275,0.6471
3NN+DTW,0.0196,0.7353,0.5581,0.5769,0.7451,0.7255,0.8039,0.6569,0.7745
LSTM,0.2549,0.598,0.5871,0.6154,0.5784,0.4706,0.4412,0.5588,0.4706
C4.5,0.9804,0.598,0.5686,0.6154,0.7059,0.7059,0.6275,0.5489999999999999,0.5392
