Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.7402,0.8346,0.8029999999999999,0.875,0.7795,0.7244,0.7323,0.7008,0.6063
Random Forest,0.0,1.0,0.7876,0.875,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.7401,0.875,1.0,1.0,1.0,1.0,1.0
C5.0,0.9134,0.9685,0.7788,0.8438,0.8583,0.937,0.8504,0.9055,0.6457
C5.0-Boosting,1.1969,1.0,0.8511,0.9062,0.8976,1.0,0.8504,0.9055,0.6457
CTree,0.8346,0.8504,0.6858,0.875,0.7244,0.7087,0.7087,0.685,0.5276
RPart,0.2677,0.8661,0.6926,0.875,0.8268,0.8819,0.8504,0.8425,0.7795
kNN,0.4094,0.8346,0.7945,0.875,0.7638,0.7165,0.7874,0.7638,0.6378
3NN+DTW,0.2205,0.8661,0.7551,0.8125,0.8031,0.8031,0.7795,0.8346,0.7323
LSTM,0.0315,0.5591,0.5662,0.5625,0.5591,0.5039,0.5354,0.5827,0.5276
C4.5,0.6614,0.9606,0.74,0.8438,0.8268,0.8898,0.8583,0.685,0.7638
