Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.1231,0.2212,0.2192,0.2,0.2077,0.2077,0.1962,0.1885,0.1865
Random Forest,0.0615,1.0,0.3553,0.4,0.9923,0.9962,0.9904,0.9885,0.9808
CART,0.2038,1.0,0.3211,0.3385,0.9904,0.9923,0.9904,0.9712,0.95
C5.0,0.1769,0.8423,0.3231,0.3077,0.85,0.8481,0.8346,0.8288,0.8154
C5.0-Boosting,0.0808,1.0,0.3788,0.3923,0.9904,0.9923,0.9904,0.9865,0.9731
CTree,0.65,0.2423,0.2154,0.2,0.2962,0.2288,0.2135,0.1615,0.1673
RPart,0.2538,0.4788,0.3115,0.2769,0.4462,0.3635,0.3962,0.375,0.3769
kNN,0.2462,0.3788,0.2481,0.2538,0.3654,0.3442,0.3327,0.3404,0.3058
3NN+DTW,0.0038,0.85,0.225,0.2462,0.8538,0.8519,0.8519,0.8462,0.8577
LSTM,0.2923,0.2212,0.1885,0.2538,0.1615,0.2231,0.1731,0.1577,0.1212
C4.5,0.1385,0.8423,0.3019,0.3385,0.8385,0.8192,0.8269,0.8192,0.8038
