Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.25,0.4758,0.4758,0.4762,0.4597,0.4476,0.4194,0.4113,0.4153
Random Forest,0.0,1.0,0.972,1.0,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.996,1.0,1.0,1.0,1.0,1.0,1.0
C5.0,0.1774,0.996,0.9879,0.9841,0.9073,0.9274,0.8065,0.8387,0.9073
C5.0-Boosting,0.2661,0.9879,0.988,0.9841,0.9274,0.9919,0.8185,0.9798,1.0
CTree,0.9919,0.996,0.9879,0.9841,0.9032,0.8468,0.7944,0.746,0.7056
RPart,0.7581,0.996,0.996,1.0,0.9032,0.8468,0.7944,0.7581,0.7581
kNN,0.8226,0.8387,0.8269,0.8889,0.7782,0.7339,0.6492,0.6129,0.6331
3NN+DTW,0.3145,0.9435,0.8106,0.8571,0.8871,0.879,0.8266,0.8266,0.8347
LSTM,1.129,0.8952,0.6629,0.9206,0.3952,0.5081,0.4597,0.25,0.2419
C4.5,0.2339,0.996,0.9879,0.9841,0.9234,0.871,0.875,0.8185,0.8911
