Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.2352,0.3023,0.2625,0.2682,0.2716,0.2682,0.2455,0.2483,0.2227
Random Forest,0.0,1.0,0.4381,0.4386,1.0,1.0,1.0,1.0,1.0
CART,0.0023,0.9989,0.3318,0.3636,0.9903,0.9602,0.9909,0.9886,0.9756
C5.0,0.0625,0.8659,0.3381,0.3477,0.8466,0.8375,0.8278,0.8472,0.8261
C5.0-Boosting,0.0034,1.0,0.4017,0.4159,0.9989,0.9989,0.9989,0.9994,0.9994
CTree,0.4023,0.4062,0.32899999999999996,0.3205,0.3557,0.3477,0.2994,0.2989,0.2795
RPart,0.2045,0.3653,0.3284,0.3455,0.3125,0.3295,0.2909,0.2943,0.27899999999999997
kNN,0.2977,0.35,0.2705,0.25,0.3312,0.3097,0.2943,0.2688,0.2773
3NN+DTW,0.0886,0.85,0.3097,0.3318,0.8705,0.8744,0.8597,0.8835,0.8881
LSTM,0.1739,0.3773,0.3068,0.3409,0.1619,0.3716,0.3244,0.1972,0.2057
C4.5,0.1125,0.8614,0.3455,0.3091,0.8358,0.8420000000000001,0.8352,0.8335,0.8119
