Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.9155,0.9486,0.9384,0.9409,0.847,0.8185,0.7671,0.7215,0.6667
Random Forest,0.0,1.0,0.9441,0.9364,1.0,1.0,1.0,1.0,1.0
CART,0.0137,1.0,0.9178,0.8955,1.0,0.9909,1.0,1.0,0.9989
C5.0,0.7648,0.992,0.9212,0.9227,0.8973,0.8345,0.8048,0.8333,0.7066
C5.0-Boosting,1.347,1.0,0.9441,0.9364,0.9829,0.8801,0.8094,0.7911,0.6906
CTree,0.9406,0.9429,0.8984,0.9273,0.8379,0.8231,0.7386,0.7043,0.6621
RPart,0.7374,0.9452,0.9109,0.9273,0.8664,0.8242,0.7934,0.7363,0.726
kNN,0.8333,0.9315,0.9258,0.9318,0.8345,0.8094,0.7557,0.7146,0.6735
3NN+DTW,0.4224,0.9543,0.9109,0.9091,0.8721,0.855,0.8151,0.8151,0.7865
LSTM,0.2443,0.903,0.879,0.8727,0.54,0.5091,0.5365,0.6609999999999999,0.5251
C4.5,1.0525,0.9886,0.9189,0.9273,0.9281,0.8881,0.8094,0.8025,0.7078
