Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.2733,0.5583,0.5317,0.6133,0.515,0.5067,0.485,0.49,0.455
Random Forest,0.0,1.0,0.6717,0.7533,1.0,1.0,1.0,1.0,1.0
CART,0.0133,1.0,0.61,0.64,0.9967,1.0,1.0,1.0,1.0
C5.0,0.28,0.9217,0.62,0.6533,0.9133,0.8767,0.8883,0.8633,0.85
C5.0-Boosting,0.47,1.0,0.7117,0.7533,0.9983,0.9983,0.9967,0.8767,0.9417
CTree,0.63,0.6217,0.55,0.58,0.57,0.5483,0.5717,0.48,0.4467
RPart,0.4733,0.7667,0.6133,0.7067,0.73,0.69,0.6783,0.6367,0.6383
kNN,0.4367,0.6517,0.5867,0.6533,0.6117,0.5717,0.5667,0.55,0.5133
3NN+DTW,0.1,0.8417,0.5717,0.62,0.8233,0.805,0.79,0.805,0.7983
LSTM,0.4133,0.3917,0.5217,0.4333,0.6183,0.6267,0.4967,0.5033,0.5767
C4.5,0.8467,0.92,0.6167,0.66,0.9,0.87,0.8,0.76,0.7433
