Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.7544,0.6404,0.5498,0.4828,0.5702,0.5175,0.4912,0.4035,0.4386
Random Forest,0.0,1.0,0.7290000000000001,0.6207,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.581,0.5517,1.0,1.0,1.0,1.0,1.0
C5.0,0.2281,0.9298,0.6316,0.5517,0.8859999999999999,0.8859999999999999,0.9035,0.8421,0.8509
C5.0-Boosting,0.0526,1.0,0.6581,0.5862,1.0,0.9825,1.0,0.9912,0.9825
CTree,1.2281,0.693,0.4735,0.4828,0.5789,0.5702,0.5965,0.4298,0.3421
RPart,0.5965,0.7719,0.5779,0.5517,0.6579,0.7281,0.7193,0.5702,0.5877
kNN,0.7544,0.6316,0.5696,0.5862,0.5789,0.5439,0.5965,0.4474,0.4386
3NN+DTW,0.0351,0.8596,0.5356,0.5517,0.8333,0.8947,0.8596,0.8421,0.8509
LSTM,0.1053,0.6404,0.4285,0.4483,0.4123,0.2895,0.6053,0.3596,0.4035
C4.5,0.0175,0.9649,0.6403,0.5172,0.8684,0.8859999999999999,0.8684,0.8596,0.8859999999999999
