Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.2906,0.6271,0.6135,0.6667,0.4344,0.3953,0.3729,0.4458,0.3365
Random Forest,0.0,1.0,0.9646,0.975,1.0,1.0,1.0,1.0,1.0
CART,0.0833,1.0,0.9401,0.9354,1.0,0.9969,0.988,0.9823,0.9865
C5.0,0.25,0.9797,0.9453,0.9354,0.8984,0.863,0.8474,0.8422,0.8464
C5.0-Boosting,0.4625,0.9995,0.9609,0.9583,0.9146,0.8755,0.9005,0.9568,0.9896
CTree,0.9844,0.9568,0.9177,0.9521,0.8547,0.7974,0.7562,0.7062,0.6542
RPart,0.8698,0.9089,0.8995,0.9167,0.8073,0.7776,0.7281,0.6854,0.6359
kNN,0.7708,0.8229,0.8062,0.8417,0.7448,0.7068,0.6672,0.6224,0.5943
3NN+DTW,0.3,0.938,0.8552,0.8646,0.8849,0.8698,0.8458,0.8448,0.8224
LSTM,0.9208,0.5135,0.5625,0.5208,0.6198,0.3104,0.174,0.2312,0.4292
C4.5,0.2667,0.9812,0.9401,0.9396,0.9,0.8625,0.8453,0.8656,0.8318
