Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.5022,0.5395,0.534,0.524,0.489,0.4605,0.4342,0.4068,0.3904
Random Forest,0.0,1.0,0.7358,0.7162,1.0,1.0,1.0,1.0,1.0
CART,0.1009,1.0,0.6142,0.5677,1.0,1.0,1.0,1.0,0.9748
C5.0,0.1689,0.9309,0.6118,0.6026,0.8794,0.8575,0.8487,0.8454,0.8432
C5.0-Boosting,0.0088,0.9989,0.7127,0.6594,0.9923,0.9967,0.9923,0.9945,0.9956
CTree,0.8355,0.6623,0.5647,0.5633,0.5954,0.5197,0.5088,0.4572,0.4178
RPart,0.6689,0.7116,0.6041,0.5852,0.6283,0.5647,0.5384,0.5263,0.4803
kNN,0.6096,0.6151,0.591,0.5502,0.5625,0.5439,0.5022,0.4737,0.4452
3NN+DTW,0.0614,0.8772,0.5789,0.5764,0.8618,0.8662,0.8443,0.8728,0.8432
LSTM,0.3794,0.6371,0.5733,0.6201,0.58,0.5713,0.4408,0.568,0.4868
C4.5,0.2829,0.9232,0.6239,0.607,0.8882,0.8662,0.8728,0.8542,0.8235
