Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.7199,0.7086,0.6904,0.6904,0.6455,0.601,0.5753,0.5363,0.4979
Random Forest,0.0062,0.9997,0.8061,0.8274,0.9986,0.9979,0.9983,0.9976,0.9973
CART,0.1671,0.9983,0.7024,0.7288,0.9911,0.9808,0.9801,0.9555,0.9620000000000001
C5.0,0.2151,0.9390000000000001,0.7192,0.711,0.8839,0.8616,0.8462,0.8486,0.8366
C5.0-Boosting,0.0411,0.9997,0.7849,0.8027,0.9877,0.9887,0.9897,0.9949,0.9949
CTree,0.7452,0.7545,0.6647,0.6959,0.662,0.6281,0.599,0.5336,0.5229
RPart,0.5486,0.6158,0.5952,0.5849,0.539,0.5366,0.5003,0.4863,0.4271
kNN,0.6815,0.6986,0.6777,0.6945,0.6366,0.5976,0.5716,0.5315,0.4993
3NN+DTW,0.1575,0.9134,0.7281,0.7384,0.8736,0.8507,0.8555,0.8459,0.8366
LSTM,1.0473,0.6897,0.5932,0.6068,0.6055,0.6192,0.4572,0.5818,0.3623
C4.5,0.1589,0.9435,0.7178,0.7041,0.8925,0.8664,0.8627,0.8555,0.8582
