Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.5643,0.6862,0.6775,0.6847,0.6321,0.6298,0.5892,0.5598,0.526
Random Forest,0.0,1.0,0.7313,0.7477,1.0,1.0,1.0,1.0,1.0
CART,0.0181,1.0,0.6455,0.6306,0.9955,1.0,1.0,1.0,1.0
C5.0,0.0813,0.833,0.7292,0.7117,0.8217,0.7698,0.9233,0.9187,0.7675
C5.0-Boosting,0.3883,0.9481,0.7223,0.6937,0.9413,0.8939,1.0,0.9977,0.9865
CTree,0.614,0.7698,0.7629,0.7027,0.6704,0.6907,0.6388,0.5824,0.5711
RPart,0.2302,0.7856,0.7336,0.7297,0.7652,0.7246,0.7246,0.6817,0.7291
kNN,0.5734,0.7562,0.7404,0.7297,0.6885,0.6817,0.6546,0.6163,0.5779
3NN+DTW,0.2573,0.8826,0.6976,0.6847,0.8397,0.8149,0.8194,0.7946,0.7856
LSTM,1.0384,0.3612,0.4042,0.3514,0.5192,0.5395,0.6027,0.5756,0.2415
C4.5,0.5779,0.9413,0.6999,0.7207,0.7404,0.8194,0.8307,0.7111,0.9391
