Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.23600000000000002,0.6222,0.6222,0.6201,0.5983,0.5857,0.573,0.5604,0.552
Random Forest,0.0,1.0,0.7977,0.7989,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.6785,0.6983,1.0,1.0,0.9958,1.0,1.0
C5.0,1.0365,0.941,0.715,0.743,0.8876,0.8118,0.8216,0.8132,0.6278
C5.0-Boosting,1.2107,1.0,0.7753,0.7989,0.9228,0.8455,0.8006,0.8132,0.6362
CTree,0.3596,0.7261,0.6603,0.7151,0.6447,0.5857,0.573,0.5604,0.5674
RPart,0.2556,0.8455,0.736,0.6983,0.8272,0.7963,0.7823,0.7556,0.7837
kNN,0.4747,0.757,0.7234,0.7207,0.7107,0.6868,0.6742,0.6236,0.6236
3NN+DTW,0.3399,0.8596,0.7093,0.6927,0.8371,0.8006,0.802,0.757,0.7739
LSTM,0.2022,0.6264,0.4804,0.6257,0.4017,0.6419,0.42700000000000005,0.4396,0.4522
C4.5,1.2612,0.9719,0.7065,0.7207,0.8118,0.7907,0.7739,0.6573,0.5632
