Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.5158,0.595,0.5703,0.6126,0.5204,0.491,0.4683,0.4231,0.4253
Random Forest,0.0,1.0,0.6147,0.6126,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.518,0.5045,1.0,1.0,0.9932,1.0,1.0
C5.0,0.0362,0.9299,0.5295,0.5315,0.8846,0.8982,0.8846,0.8846,0.8824
C5.0-Boosting,0.0,1.0,0.5588,0.5946,1.0,1.0,1.0,1.0,1.0
CTree,0.8190000000000001,0.6357,0.6222,0.5856,0.5928,0.5679,0.5317,0.4615,0.4412
RPart,0.8009,0.7262,0.6063,0.5856,0.6833,0.6222,0.6176,0.5158,0.5362
kNN,0.5566,0.6312,0.586,0.6396,0.595,0.552,0.5633,0.5045,0.4796
3NN+DTW,0.0905,0.8914,0.5248,0.5405,0.871,0.8597,0.8462,0.8371,0.8597
LSTM,1.276,0.4706,0.154,0.4505,0.5498,0.2262,0.1312,0.3394,0.1742
C4.5,0.0045,0.9208,0.5701,0.4505,0.8891,0.8778,0.8054,0.9027,0.8778
