Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.4838,0.4987,0.4799,0.4632,0.4692,0.4402,0.4231,0.3829,0.3769
Random Forest,0.0077,1.0,0.8329,0.841,1.0,0.9996,0.9991,0.9991,0.9983
CART,0.0556,1.0,0.7397,0.7607,0.9983,0.9893,0.9957,0.9803,0.9889
C5.0,0.1795,0.9479,0.7534,0.7624,0.9026,0.8919,0.8701,0.8637,0.8718
C5.0-Boosting,0.0128,1.0,0.8188,0.8376,0.9957,0.9966,0.9966,0.9979,0.9983
CTree,1.0017,0.8034,0.706,0.7419,0.7115,0.6235,0.5744,0.5517,0.49700000000000005
RPart,0.6453,0.7385,0.6808,0.6821,0.6466,0.6103,0.5679,0.5491,0.5158
kNN,0.512,0.6068,0.5645,0.5573,0.55,0.5372,0.5077,0.4769,0.4521
3NN+DTW,0.1137,0.8701,0.5885,0.6017,0.8466,0.8491,0.8393,0.8376,0.8239
LSTM,1.0,0.5449,0.6214,0.5077,0.7077,0.6726,0.6051,0.4735,0.5573
C4.5,0.2308,0.9466,0.7556,0.747,0.9068,0.8893,0.8692,0.8825,0.8526
