Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.4564,0.5079,0.4827,0.4891,0.45,0.44799999999999995,0.4213,0.3921,0.3639
Random Forest,0.003,1.0,0.8179,0.8416,1.0,1.0,0.9990000000000001,0.9995,0.9995
CART,0.0297,0.9990000000000001,0.7263,0.7485,0.9975,0.9995,0.9955,0.9866,0.9965
C5.0,0.0871,0.9599,0.75,0.7762,0.8886,0.8812,0.8797,0.8762,0.8693
C5.0-Boosting,0.0327,1.0,0.8158,0.8475,0.9911,0.998,0.997,0.9985,0.9990000000000001
CTree,0.9158,0.7941,0.6777,0.7188,0.6678,0.6505,0.601,0.551,0.4886
RPart,0.9356,0.7203,0.6728,0.6792,0.6554,0.6193,0.5723,0.5515,0.4554
kNN,0.4376,0.6025,0.5569,0.5644,0.5505,0.5248,0.5,0.4911,0.4579
3NN+DTW,0.1762,0.8658,0.5728,0.5802,0.851,0.8233,0.8257,0.8282,0.8045
LSTM,1.3644,0.7094,0.5529999999999999,0.695,0.7282,0.6693,0.5916,0.5455,0.449
C4.5,0.2406,0.951,0.746,0.7663,0.9084,0.8817,0.8728,0.8634,0.8574
