Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.8417,0.885,0.8731,0.8784,0.8063,0.7778,0.7227,0.6893,0.6401
Random Forest,0.0,1.0,0.9272,0.9333,1.0,1.0,1.0,1.0,1.0
CART,0.0787,1.0,0.8771,0.9176,0.9833,0.9941,1.0,1.0,1.0
C5.0,1.0678,0.9715,0.882,0.9137,0.8791,0.8791,0.8142,0.7365,0.6834
C5.0-Boosting,1.4218,1.0,0.9272,0.9294,0.9440000000000001,0.9322,0.8102,0.7483,0.6804
CTree,0.9145,0.9272,0.8958,0.902,0.8289,0.7817,0.7561,0.708,0.6372
RPart,0.6018,0.9253,0.8751,0.9294,0.8378,0.7974,0.7709,0.7424,0.7148
kNN,0.826,0.8859,0.884,0.8824,0.8181,0.7719,0.7404,0.7089,0.6431
3NN+DTW,0.6155,0.9390000000000001,0.8751,0.8745,0.8859,0.8417,0.825,0.7876,0.7591
LSTM,0.2065,0.9705,0.9007,0.9569,0.6096,0.7817,0.6735,0.7021,0.7011
C4.5,1.3097,0.9803,0.8899,0.9137,0.8948,0.8909,0.8112,0.7237,0.6509
