Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.3865,0.2085,0.1927,0.2165,0.2062,0.1796,0.1594,0.1411,0.1288
Random Forest,0.0,1.0,0.7096,0.7291,1.0,1.0,1.0,1.0,1.0
CART,0.0657,0.997,0.5881,0.6069,0.9977,0.9837,0.9957,0.992,0.9771
C5.0,0.4987,0.9167,0.6056,0.6388,0.8592,0.8307,0.8028,0.7885,0.7556
C5.0-Boosting,0.1879,0.9997,0.6902,0.7251,0.9844,0.9701,0.9585,0.9532,0.9459
CTree,0.7437,0.6331,0.5236,0.5578,0.5302,0.503,0.4678,0.4047,0.3934
RPart,0.6866,0.4688,0.4067,0.4236,0.3941,0.3609,0.335,0.2958,0.255
kNN,0.4701,0.4764,0.423,0.4595,0.4313,0.414,0.3878,0.3642,0.3386
3NN+DTW,0.0976,0.8775,0.429,0.4595,0.8798,0.8825,0.8875,0.8875,0.9017
LSTM,0.6069,0.4871,0.6069,0.4489,0.3951,0.5548,0.3914,0.4266,0.3074
C4.5,0.4854,0.9209999999999999,0.5916,0.6175,0.8566,0.8277,0.8001,0.7815,0.7583
