Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.0737,0.3059,0.2691,0.23600000000000002,0.289,0.2861,0.2776,0.2946,0.2663
Random Forest,0.0,1.0,0.5127,0.618,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.4104,0.4831,1.0,1.0,1.0,1.0,1.0
C5.0,0.0623,0.8952,0.4502,0.4607,0.8725,0.8952,0.8414,0.8924,0.8584
C5.0-Boosting,0.0,1.0,0.5521,0.5843,1.0,1.0,1.0,1.0,1.0
CTree,0.3513,0.3626,0.2406,0.3371,0.3569,0.3229,0.2011,0.3229,0.2691
RPart,0.4249,0.6544,0.4448,0.4045,0.5694,0.6544,0.5552,0.5269,0.5269
kNN,0.3059,0.4164,0.2718,0.3596,0.3881,0.3768,0.3881,0.3541,0.3229
3NN+DTW,0.0227,0.83,0.2887,0.3146,0.8555,0.8414,0.8669,0.83,0.8555
LSTM,0.4703,0.3513,0.38299999999999995,0.2921,0.3513,0.2436,0.3739,0.3484,0.4164
C4.5,0.0793,0.8839,0.3938,0.42700000000000005,0.8809999999999999,0.8612,0.8669,0.8782,0.8527
