Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.2794,0.6402,0.6388,0.6372,0.611,0.5978,0.5833,0.5691,0.5555
Random Forest,0.0,1.0,0.7972,0.8064,1.0,1.0,1.0,1.0,1.0
CART,0.1214,1.0,0.7196,0.7406,0.9948,0.9821,0.9929,0.9901,0.9605
C5.0,0.9981,0.833,0.7432,0.7744,0.7695,0.7239,0.6736,0.6105,0.5767
C5.0-Boosting,1.1543,0.92,0.777,0.8008,0.8015,0.7389,0.6406,0.6115,0.5767
CTree,0.5663,0.7178,0.6957,0.7049,0.6595,0.667,0.6383,0.5917,0.5555
RPart,0.5776,0.8142,0.7479,0.7575,0.7253,0.7126,0.6665,0.6656,0.6044
kNN,0.5372,0.7455,0.7225,0.7274,0.7131,0.6689,0.6585,0.6279,0.5992
3NN+DTW,0.2944,0.8537,0.715,0.6992,0.8217,0.7982,0.7907,0.7714,0.7615
LSTM,0.3518,0.6933,0.5273,0.6786,0.3913,0.6181,0.5992,0.5494,0.5136
C4.5,0.9454,0.9454,0.7361,0.7669,0.826,0.8039,0.7531,0.7140000000000001,0.6345
