Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.4643,0.5,0.4314,0.4762,0.4643,0.3929,0.4107,0.3155,0.3869
Random Forest,0.0,1.0,0.8843,0.9524,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.8643,0.8333,1.0,1.0,1.0,1.0,1.0
C5.0,0.25,0.9881,0.7982,0.8571,0.9286,0.8809999999999999,0.8929,0.8869,0.8631
C5.0-Boosting,0.0714,1.0,0.8986,0.9762,0.9940000000000001,0.9762,0.9702,1.0,1.0
CTree,1.1786,0.875,0.7738,0.7857,0.7440000000000001,0.6905,0.6369,0.5536,0.5179
RPart,0.8809999999999999,0.8809999999999999,0.8034,0.7857,0.8929,0.7917,0.7381,0.7202,0.7083
kNN,0.5,0.6369,0.518,0.5714,0.5893,0.5595,0.5417,0.5119,0.4881
3NN+DTW,0.0595,0.9286,0.6845,0.8809999999999999,0.9048,0.875,0.8452,0.8571,0.8988
LSTM,0.7381,0.6726,0.6278,0.6905,0.2857,0.3869,0.494,0.3274,0.5
C4.5,0.3929,0.9762,0.7861,0.8333,0.9345,0.8929,0.8809999999999999,0.8393,0.8631
