Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.5556,0.7431,0.715,0.7222,0.7049,0.6389,0.625,0.6181,0.5764
Random Forest,0.25,1.0,0.9336,0.9306,0.941,0.9236,0.8785,0.9028,0.8889
CART,0.25,1.0,0.8925,0.8194,0.941,0.9236,0.8785,0.9028,0.8889
C5.0,0.8194,0.9896,0.8676,0.875,0.8924,0.8819,0.7812,0.7847,0.7361
C5.0-Boosting,1.0069,1.0,0.9198,0.9167,0.941,0.8785,0.7812,0.7847,0.7361
CTree,0.9514,0.8819,0.8126,0.7917,0.816,0.7326,0.7431,0.6389,0.625
RPart,0.2917,0.934,0.8402,0.8056,0.8681,0.8681,0.8125,0.8194,0.8194
kNN,0.125,0.809,0.7291,0.7361,0.7222,0.6701,0.691,0.684,0.684
3NN+DTW,0.1319,0.8785,0.7290000000000001,0.5556,0.8264,0.809,0.7708,0.7847,0.8056
LSTM,0.5208,0.5312,0.6699,0.5417,0.5069,0.5278,0.5660000000000001,0.4965,0.6528
C4.5,1.375,0.9896,0.8747,0.875,0.9132,0.9062,0.8646,0.7118,0.6667
