Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.5661,0.7211,0.721,0.7521,0.655,0.6467,0.5971,0.5661,0.5537
Random Forest,0.0,1.0,0.8118,0.8264,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.7312,0.7686,1.0,1.0,1.0,1.0,1.0
C5.0,0.1612,0.9008,0.779,0.8347,0.8595,0.7872,0.8099,0.8058,0.8099
C5.0-Boosting,0.3388,0.9793,0.7954,0.8595,0.9607,0.8554,0.9814,0.9959,0.9752
CTree,0.7893,0.8264,0.7439,0.8347,0.7541,0.6632,0.6736,0.6074,0.5847
RPart,0.6322,0.8574,0.7913,0.8182,0.7872,0.7521,0.75,0.7087,0.6508
kNN,0.6281,0.8223,0.7933,0.8512,0.7521,0.7128,0.6859999999999999,0.6467,0.6281
3NN+DTW,0.1818,0.8759999999999999,0.7687,0.8678,0.8264,0.8285,0.8202,0.812,0.7893
LSTM,0.0785,0.7025,0.5617,0.7025,0.4525,0.6777,0.6591,0.5764,0.5227
C4.5,0.2521,0.9112,0.7727,0.843,0.8657,0.8492,0.8182,0.8512,0.8017
