Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.3596,0.6784,0.6784,0.6816,0.6433,0.625,0.6067,0.5885,0.5716
Random Forest,0.0,1.0,0.8371,0.8547,1.0,1.0,1.0,1.0,1.0
CART,0.013999999999999999,1.0,0.7698,0.7821,0.9958,1.0,1.0,0.9986,1.0
C5.0,0.6376,0.9256,0.8216,0.838,0.8638,0.7683,0.8904,0.6854,0.7458
C5.0-Boosting,0.7079,0.9972,0.8273,0.8212,0.8806,0.7767,0.8736,0.6924,0.7458
CTree,0.4803,0.8076,0.778,0.8268,0.7065,0.7191,0.6615,0.6671,0.6124
RPart,0.3876,0.8666,0.8048,0.838,0.8539,0.7935,0.7851,0.7683,0.7697
kNN,0.5983,0.8202,0.8006,0.8212,0.7458,0.7542,0.7065,0.6826,0.632
3NN+DTW,0.1376,0.8539,0.7725,0.7821,0.7921,0.8258,0.7865,0.7739,0.7837
LSTM,0.1545,0.3371,0.4817,0.324,0.4059,0.625,0.4649,0.4129,0.5506
C4.5,1.1798,0.9593,0.8118,0.7709,0.868,0.8652,0.7458,0.6629,0.6742
