Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.5826,0.6302,0.6242,0.6364,0.5723,0.5475,0.5186,0.4835,0.4587
Random Forest,0.0,1.0,0.7893,0.8347,1.0,1.0,1.0,1.0,1.0
CART,0.0083,1.0,0.7296,0.7355,1.0,0.9959,1.0,1.0,1.0
C5.0,0.0372,0.9483,0.7748,0.7273,0.9008,0.8843,0.8988,0.8781,0.8946
C5.0-Boosting,0.0041,1.0,0.7871,0.7686,1.0,0.9959,0.9979,0.9979,1.0
CTree,0.6736,0.7893,0.7685,0.7438,0.7066,0.688,0.6405,0.6281,0.5682
RPart,0.5248,0.8347,0.7871,0.7521,0.7335,0.7128,0.655,0.6281,0.6446
kNN,0.7975,0.7934,0.7809999999999999,0.7603,0.7293,0.6756,0.6467,0.6116,0.562
3NN+DTW,0.0785,0.8740000000000001,0.7334,0.7107,0.8388,0.8574,0.8099,0.8264,0.8347
LSTM,0.2314,0.3719,0.3052,0.3719,0.3988,0.4628,0.2686,0.1694,0.4876
C4.5,0.1777,0.9483,0.7665,0.7273,0.8759999999999999,0.8471,0.8926,0.9029,0.8926
