Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.3467,0.5167,0.4367,0.52,0.48,0.4917,0.485,0.4617,0.4083
Random Forest,0.0,1.0,0.5067,0.58,1.0,1.0,1.0,1.0,1.0
CART,0.02,1.0,0.4517,0.4067,0.9983,1.0,1.0,1.0,0.9933
C5.0,0.8167,0.945,0.4433,0.5733,0.6683,0.82,0.745,0.7017,0.5233
C5.0-Boosting,0.23,1.0,0.48,0.52,0.6683,0.5267,0.8267,0.7017,0.5233
CTree,0.5933,0.5017,0.46,0.5067,0.4767,0.48,0.465,0.4467,0.345
RPart,0.2367,0.5567,0.415,0.5267,0.5567,0.55,0.595,0.5883,0.5967
kNN,0.1067,0.5,0.435,0.3933,0.4867,0.5233,0.48,0.47,0.4867
3NN+DTW,0.1567,0.7983,0.4,0.4267,0.7933,0.7967,0.7967,0.795,0.755
LSTM,0.5,0.57,0.4717,0.4467,0.6183,0.515,0.5983,0.4117,0.545
C4.5,0.08,0.8933,0.455,0.5533,0.775,0.72,0.535,0.6867,0.8117
