Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.0433,0.4167,0.3883,0.4267,0.4167,0.3817,0.4083,0.4033,0.4167
Random Forest,0.0,1.0,0.4167,0.54,1.0,1.0,1.0,1.0,1.0
CART,0.0767,1.0,0.385,0.48,0.9967,0.9983,0.9917,1.0,0.9767
C5.0,0.2967,0.7867,0.4183,0.44,0.7867,0.6167,0.63,0.745,0.6483
C5.0-Boosting,1.0167,0.7867,0.44,0.44,0.9667,0.6167,0.63,0.745,0.6483
CTree,0.1967,0.3333,0.2917,0.3333,0.34,0.335,0.3367,0.3367,0.3883
RPart,0.17,0.555,0.405,0.46,0.5667,0.5567,0.6367,0.5317,0.5367
kNN,0.0133,0.4633,0.4,0.4333,0.4483,0.4267,0.43,0.41,0.4533
3NN+DTW,0.0633,0.7833,0.4167,0.38,0.78,0.755,0.7783,0.79,0.7783
LSTM,0.16,0.5233,0.4017,0.4333,0.5233,0.4367,0.515,0.4433,0.48
C4.5,1.45,0.815,0.4033,0.4733,0.7683,0.7183,0.865,0.5333,0.4983
