Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.2028,0.6319,0.6278,0.6667,0.6083,0.5736,0.5931,0.5694,0.5597
Random Forest,0.0,1.0,0.7638,0.7222,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.6943,0.6778,1.0,1.0,1.0,1.0,1.0
C5.0,0.95,0.8583,0.7472,0.6833,0.8444,0.7014,0.7167,0.7292,0.5931
C5.0-Boosting,0.8139,0.8889,0.7597,0.7222,0.7917,0.7014,0.7222,0.6917,0.5931
CTree,0.5056,0.6958,0.6833,0.6333,0.6556,0.5694,0.5833,0.55,0.5389
RPart,0.4583,0.8333,0.7278,0.6833,0.8083,0.7611,0.7417,0.7514,0.6986
kNN,0.1861,0.6847,0.6375,0.6389,0.6514,0.6444,0.6194,0.6236,0.6153
3NN+DTW,0.0722,0.7958,0.6139,0.6167,0.7889,0.7625,0.7597,0.7819,0.7611
LSTM,0.4444,0.7,0.5625,0.6722,0.6431,0.625,0.4431,0.5528,0.5681
C4.5,1.225,0.8597,0.7361,0.6667,0.7917,0.7819,0.6806,0.5972,0.5778
