Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.2528,0.3528,0.3083,0.2944,0.3222,0.3042,0.2972,0.2694,0.2764
Random Forest,0.0,1.0,0.4167,0.3722,1.0,1.0,1.0,1.0,1.0
CART,0.0222,1.0,0.3833,0.3278,1.0,1.0,0.9986,1.0,0.9944
C5.0,0.0417,0.8639,0.3403,0.3667,0.8444,0.825,0.8542,0.8431,0.8458
C5.0-Boosting,0.0,1.0,0.4139,0.3778,0.9972,0.9972,0.9986,0.9972,0.9972
CTree,0.5528,0.4292,0.3083,0.3167,0.3694,0.3597,0.3361,0.3167,0.2528
RPart,0.4639,0.4639,0.3403,0.3278,0.4542,0.4208,0.3653,0.4028,0.3472
kNN,0.0083,0.3708,0.3111,0.2611,0.3431,0.3681,0.3444,0.3333,0.3583
3NN+DTW,0.075,0.8347,0.2458,0.2333,0.8417,0.8278,0.8375,0.8486,0.85
LSTM,0.1028,0.2847,0.3319,0.25,0.2597,0.3194,0.2042,0.2681,0.2597
C4.5,0.0167,0.8667,0.3639,0.3722,0.8389,0.8347,0.8472,0.8347,0.8431
