Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.1833,0.4236,0.3958,0.4056,0.3833,0.3736,0.3347,0.3292,0.3597
Random Forest,0.0,1.0,0.6346,0.5889,1.0,1.0,1.0,1.0,1.0
CART,0.0028,1.0,0.5528,0.5167,0.9972,1.0,0.9986,0.9931,1.0
C5.0,0.0833,0.9125,0.5764,0.5722,0.8667,0.8639,0.8625,0.8611,0.8472
C5.0-Boosting,0.0444,1.0,0.6347,0.6278,0.9875,0.9972,0.9986,1.0,0.9972
CTree,0.4583,0.6375,0.5486,0.5389,0.5194,0.5111,0.4889,0.4736,0.4236
RPart,0.5083,0.6333,0.5819,0.5278,0.5792,0.5458,0.5514,0.525,0.4625
kNN,0.2278,0.5014,0.4403,0.4333,0.4625,0.4556,0.4542,0.4111,0.4278
3NN+DTW,0.0611,0.8264,0.3667,0.4278,0.8292,0.8292,0.8222,0.8375,0.8097
LSTM,0.5972,0.3167,0.3583,0.3111,0.4389,0.4611,0.3264,0.3486,0.3458
C4.5,0.1,0.9153,0.5556,0.5389,0.8722,0.8681,0.8528,0.8569,0.8528
