Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.2625,0.5625,0.4875,0.4,0.6,0.5875,0.55,0.5188,0.5688
Random Forest,0.0,1.0,0.4875,0.45,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.5438,0.425,1.0,1.0,1.0,1.0,1.0
C5.0,0.275,0.5,0.475,0.5,0.5,0.6375,0.5,0.5,0.5
C5.0-Boosting,0.275,0.5,0.475,0.5,0.5,0.6375,0.5,0.5,0.5
CTree,0.0,0.5,0.425,0.5,0.5,0.5,0.5,0.5,0.5
RPart,0.1125,0.7875,0.4188,0.425,0.7875,0.7875,0.8,0.7562,0.775
kNN,0.1125,0.6688,0.5438,0.475,0.675,0.6,0.575,0.6062,0.6438
3NN+DTW,0.075,0.7875,0.575,0.325,0.7812,0.75,0.7688,0.75,0.7625
LSTM,0.0375,0.5125,0.4812,0.525,0.5,0.5,0.575,0.5188,0.5
C4.5,0.0,0.5,0.4125,0.5,0.55,0.5,0.5,0.5,0.55
