Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.1875,0.1312,0.1031,0.0917,0.1042,0.1062,0.0969,0.0875,0.0667
Random Forest,0.0083,1.0,0.5317,0.5417,1.0,0.9990000000000001,0.9990000000000001,0.9990000000000001,0.9979
CART,0.3375,0.9562,0.3878,0.4,0.9302,0.9875,0.9646,0.9521,0.8635
C5.0,0.3646,0.8344,0.3552,0.4167,0.7927,0.7729,0.7509999999999999,0.7323,0.7219
C5.0-Boosting,0.0979,0.9979,0.4698,0.5333,0.9885,0.9885,0.9802,0.9708,0.9729
CTree,0.525,0.35,0.2125,0.2667,0.2708,0.226,0.2271,0.1635,0.1708
RPart,0.7042,0.2365,0.1438,0.2167,0.1844,0.1625,0.1375,0.1125,0.0333
kNN,0.2021,0.2281,0.1312,0.1833,0.2188,0.1948,0.2052,0.175,0.1781
3NN+DTW,0.0896,0.9177,0.2906,0.3375,0.9198,0.9259999999999999,0.9052,0.9312,0.9396
LSTM,0.1708,0.7438,0.3552,0.4917,0.4438,0.4521,0.375,0.5854,0.3344
C4.5,0.3208,0.8323,0.3448,0.3833,0.7646,0.7854,0.7448,0.7333,0.7104
