Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.5067,0.7433,0.7333,0.76,0.675,0.65,0.6233,0.59,0.5783
Random Forest,0.0,1.0,0.7367,0.7667,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.685,0.6733,1.0,1.0,0.9983,1.0,1.0
C5.0,1.0867,0.9317,0.7083,0.6667,0.895,0.8383,0.8517,0.7917,0.6467
C5.0-Boosting,1.5567,1.0,0.74,0.7667,0.9933,0.9783,0.9667,0.9433,0.6217
CTree,0.6567,0.7633,0.66,0.6933,0.6833,0.6233,0.635,0.5617,0.55
RPart,0.69,0.7883,0.7267,0.74,0.7483,0.7,0.6917,0.6417,0.605
kNN,0.6133,0.7283,0.7067,0.7733,0.685,0.6417,0.6217,0.575,0.565
3NN+DTW,0.32,0.875,0.6833,0.72,0.835,0.8383,0.8333,0.8017,0.7733
LSTM,0.35,0.7867,0.6683,0.7867,0.6533,0.605,0.5983,0.6367,0.55
C4.5,0.54,0.875,0.7217,0.7067,0.875,0.875,0.805,0.8217,0.7667
