Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.825,0.8167,0.7625,0.8,0.725,0.7417,0.6167,0.6458,0.5667
Random Forest,0.0,1.0,0.85,0.9167,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.8292,0.85,1.0,1.0,1.0,1.0,1.0
C5.0,0.3083,0.9458,0.825,0.8333,0.9458,0.9375,0.95,0.8917,0.8917
C5.0-Boosting,0.0167,1.0,0.8667,0.9,1.0,0.9917,1.0,1.0,1.0
CTree,1.0417,0.8875,0.8,0.8333,0.8042,0.7917,0.7083,0.6708,0.6042
RPart,0.5417,0.9167,0.8625,0.9,0.8208,0.7917,0.7458,0.7542,0.7042
kNN,0.6417,0.8292,0.8042,0.8833,0.725,0.7542,0.675,0.675,0.6042
3NN+DTW,0.2083,0.8875,0.65,0.6833,0.8333,0.8583,0.85,0.8375,0.7917
LSTM,0.9417,0.7542,0.775,0.8,0.725,0.55,0.7625,0.4042,0.5625
C4.5,0.2083,0.9708,0.8125,0.8167,0.9208,0.9,0.9333,0.9042,0.8667
