Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.9516,0.9032,0.887,0.8959999999999999,0.8206,0.75,0.6976,0.6694,0.623
Random Forest,0.0,1.0,0.9555,0.9520000000000001,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.9131,0.9359999999999999,1.0,1.0,1.0,1.0,1.0
C5.0,0.7056,0.9940000000000001,0.9234,0.92,0.8972,0.8831,0.8609,0.8286,0.748
C5.0-Boosting,1.3992,1.0,0.9455,0.96,0.9919,0.9738,0.9476,0.8266,0.7157
CTree,0.6573,0.9113,0.9032,0.88,0.8185,0.752,0.746,0.7016,0.6794
RPart,0.2177,0.9395,0.8992,0.888,0.8609,0.8226,0.8427,0.7984,0.8185
kNN,0.7419,0.8992,0.8911,0.8640000000000001,0.8165,0.7964,0.75,0.7117,0.6734
3NN+DTW,0.5323,0.9395,0.8809999999999999,0.9279999999999999,0.8609,0.8649,0.8246,0.7843,0.7681
LSTM,1.1613,0.8065,0.8324,0.8320000000000001,0.9133,0.6411,0.5565,0.5887,0.6492
C4.5,0.5,0.9940000000000001,0.9153,0.92,0.8952,0.8589,0.8105,0.7581,0.8206
