Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.2901,0.6425,0.6425,0.6447,0.6145,0.5992,0.5852,0.5712,0.556
Random Forest,0.0,0.9987,0.9135,0.8883,0.9987,0.9987,0.9987,0.9987,0.9987
CART,0.0051,0.9987,0.8740000000000001,0.8934,0.9987,0.9962,0.9987,0.9987,0.9987
C5.0,1.2087,0.9733,0.8842,0.8477,0.9033,0.888,0.7239,0.7595,0.6654
C5.0-Boosting,1.2697,0.9987,0.9122,0.9188,0.9466,0.8321,0.7608,0.7595,0.6654
CTree,0.9109,0.8728,0.8397,0.8122,0.8257,0.6729999999999999,0.7087,0.6858,0.5916
RPart,0.7709999999999999,0.9198,0.86,0.8426,0.8486,0.7977,0.7939,0.7557,0.6768
kNN,0.5547,0.8206,0.7965,0.7919,0.7532,0.7405,0.6959,0.687,0.6412
3NN+DTW,0.2723,0.8868,0.7863,0.8071,0.8372,0.8155,0.799,0.7913,0.7812
LSTM,0.5293,0.6425,0.6692,0.6447,0.8181,0.5992,0.5852,0.5712,0.6997
C4.5,1.1527,0.9835,0.8919,0.868,0.8677,0.8092,0.8651,0.6832,0.6425
