Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.4489,0.3133,0.27,0.2889,0.3167,0.2456,0.2711,0.19,0.2322
Random Forest,0.0,1.0,0.8267,0.8089,0.9989,1.0,1.0,1.0,0.9989
CART,0.0,1.0,0.6844,0.6933,0.9989,1.0,1.0,1.0,0.9989
C5.0,0.3111,0.9444,0.7044,0.7156,0.8844,0.8633,0.8522,0.8344,0.8211
C5.0-Boosting,0.0267,1.0,0.7978,0.7956,0.99,0.9867,0.9922,0.9822,0.9856
CTree,0.8956,0.7744,0.68,0.6489,0.6667,0.6378,0.5444,0.5544,0.4844
RPart,0.7578,0.7067,0.61,0.5867,0.65,0.6133,0.5733,0.5233,0.5056
kNN,0.4022,0.4622,0.3811,0.4,0.4222,0.4011,0.3911,0.3711,0.3367
3NN+DTW,0.0733,0.8744,0.5411,0.5689,0.8756,0.8722,0.8578,0.86,0.8633
LSTM,0.0178,0.2244,0.2656,0.2,0.2544,0.1678,0.3689,0.2878,0.19
C4.5,0.32,0.94,0.6767,0.7111,0.8789,0.8711,0.8467,0.82,0.8244
